id,problem_id,function_name,starter_code,language
1,1,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// friends_len은 배열 friends의 길이입니다.
// gifts_len은 배열 gifts의 길이입니다.
// 파라미터로 주어지는 문자열은 const로 주어집니다. 변경하려면 문자열을 복사해서 사용하세요.
int solution(const char* friends[], size_t friends_len, const char* gifts[], size_t gifts_len) {
    int answer = 0;
    return answer;
}",c
2,1,solution,"#include <string>
#include <vector>

using namespace std;

int solution(vector<string> friends, vector<string> gifts) {
    int answer = 0;
    return answer;
}",cpp
3,1,solution,"def solution(friends, gifts):
    answer = 0
    return answer",python
4,1,solution,"class Solution {
    public int solution(String[] friends, String[] gifts) {
        int answer = 0;
        return answer;
    }
}",java
5,2,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// edges_rows는 2차원 배열 edges의 행 길이, edges_cols는 2차원 배열 edges의 열 길이입니다.
int* solution(int** edges, size_t edges_rows, size_t edges_cols) {
    // return 값은 malloc 등 동적 할당을 사용해주세요. 할당 길이는 상황에 맞게 변경해주세요.
    int* answer = (int*)malloc(1);
    return answer;
}",c
6,2,solution,"#include <string>
#include <vector>

using namespace std;

vector<int> solution(vector<vector<int>> edges) {
    vector<int> answer;
    return answer;
}",cpp
7,2,solution,"def solution(edges):
    answer = []
    return answer",python
8,2,solution,"class Solution {
    public int[] solution(int[][] edges) {
        int[] answer = {};
        return answer;
    }
}",java
9,3,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// dice_rows는 2차원 배열 dice의 행 길이, dice_cols는 2차원 배열 dice의 열 길이입니다.
int* solution(int** dice, size_t dice_rows, size_t dice_cols) {
    // return 값은 malloc 등 동적 할당을 사용해주세요. 할당 길이는 상황에 맞게 변경해주세요.
    int* answer = (int*)malloc(1);
    return answer;
}",c
10,3,solution,"#include <string>
#include <vector>

using namespace std;

vector<int> solution(vector<vector<int>> dice) {
    vector<int> answer;
    return answer;
}",cpp
11,3,solution,"def solution(dice):
    answer = []
    return answer",python
12,3,solution,"class Solution {
    public int[] solution(int[][] dice) {
        int[] answer = {};
        return answer;
    }
}",java
13,4,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// cards_len은 배열 cards의 길이입니다.
int solution(int coin, int cards[], size_t cards_len) {
    int answer = 0;
    return answer;
}",c
14,4,solution,"#include <string>
#include <vector>

using namespace std;

int solution(int coin, vector<int> cards) {
    int answer = 0;
    return answer;
}",cpp
15,4,solution,"def solution(coin, cards):
    answer = 0
    return answer",python
16,4,solution,"class Solution {
    public int solution(int coin, int[] cards) {
        int answer = 0;
        return answer;
    }
}",java
17,5,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// tops_len은 배열 tops의 길이입니다.
int solution(int n, int tops[], size_t tops_len) {
    int answer = 0;
    return answer;
}",c
18,5,solution,"#include <string>
#include <vector>

using namespace std;

int solution(int n, vector<int> tops) {
    int answer = 0;
    return answer;
}",cpp
19,5,solution,"def solution(n, tops):
    answer = 0
    return answer",python
20,5,solution,"class Solution {
    public int solution(int n, int[] tops) {
        int answer = 0;
        return answer;
    }
}",java
21,6,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// bandage_len은 배열 bandage의 길이입니다.
// attacks_rows는 2차원 배열 attacks의 행 길이, attacks_cols는 2차원 배열 attacks의 열 길이입니다.
int solution(int bandage[], size_t bandage_len, int health, int** attacks, size_t attacks_rows, size_t attacks_cols) {
    int answer = 0;
    return answer;
}",c
22,6,solution,"#include <string>
#include <vector>

using namespace std;

int solution(vector<int> bandage, int health, vector<vector<int>> attacks) {
    int answer = 0;
    return answer;
}",cpp
23,6,solution,"def solution(bandage, health, attacks):
    answer = 0
    return answer",python
24,6,solution,"class Solution {
    public int solution(int[] bandage, int health, int[][] attacks) {
        int answer = 0;
        return answer;
    }
}",java
25,7,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// land_rows는 2차원 배열 land의 행 길이, land_cols는 2차원 배열 land의 열 길이입니다.
int solution(int** land, size_t land_rows, size_t land_cols) {
    int answer = 0;
    return answer;
}",c
26,7,solution,"#include <string>
#include <vector>

using namespace std;

int solution(vector<vector<int>> land) {
    int answer = 0;
    return answer;
}",cpp
27,7,solution,"def solution(land):
    answer = 0
    return answer",python
28,7,solution,"class Solution {
    public int solution(int[][] land) {
        int answer = 0;
        return answer;
    }
}",java
29,8,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

int solution(int h1, int m1, int s1, int h2, int m2, int s2) {
    int answer = -1;
    return answer;
}",c
30,8,solution,"#include <string>
#include <vector>

using namespace std;

int solution(int h1, int m1, int s1, int h2, int m2, int s2) {
    int answer = -1;
    return answer;
}",cpp
31,8,solution,"def solution(h1, m1, s1, h2, m2, s2):
    answer = -1
    return answer",python
32,8,solution,"class Solution {
    public int solution(int h1, int m1, int s1, int h2, int m2, int s2) {
        int answer = -1;
        return answer;
    }
}",java
33,9,solution,"#include <stdio.h>
#include <stdbool.h>
#include <stdlib.h>

// maze_rows는 2차원 배열 maze의 행 길이, maze_cols는 2차원 배열 maze의 열 길이입니다.
int solution(int** maze, size_t maze_rows, size_t maze_cols) {
    int answer = 0;
    return answer;
}",c
34,9,solution,"#include <string>
#include <vector>

using namespace std;

int solution(vector<vector<int>> maze) {
    int answer = 0;
    return answer;
}",cpp
35,9,solution,"def solution(maze):
    answer = 0
    return answer",python
36,9,solution,"class Solution {
    public int solution(int[][] maze) {
        int answer = 0;
        return answer;
    }
}",java
